"Date","Price","Open","High","Low","Vol.","Change %"
"15/04/2025","4.900","4.990","5.020","4.880","1.55M","-1.80%"
"14/04/2025","4.990","4.940","5.000","4.910","1.22M","1.01%"
"11/04/2025","4.940","4.830","4.980","4.815","1.07M","0.20%"
"10/04/2025","4.930","4.900","4.940","4.795","2.00M","2.92%"
"09/04/2025","4.790","4.750","4.810","4.710","1.99M","-1.24%"
"08/04/2025","4.850","4.720","4.935","4.720","3.23M","2.97%"
"07/04/2025","4.710","4.600","4.860","4.600","4.92M","-0.63%"
"04/04/2025","4.740","4.720","4.770","4.655","1.16M","0.42%"
"03/04/2025","4.720","4.700","4.740","4.655","1.49M","-1.05%"
"02/04/2025","4.770","4.770","4.850","4.770","815.74K","-0.21%"
"01/04/2025","4.780","4.790","4.830","4.735","1.33M","-0.42%"
"31/03/2025","4.800","4.730","4.840","4.730","1.77M","0.42%"
"28/03/2025","4.780","4.750","4.850","4.735","1.65M","-1.04%"
"27/03/2025","4.830","4.830","4.870","4.770","1.12M","-0.41%"
"26/03/2025","4.850","4.900","4.920","4.850","1.60M","-0.41%"
"25/03/2025","4.870","4.980","4.985","4.860","1.49M","-2.01%"
"24/03/2025","4.970","4.940","4.985","4.910","1.28M","0.61%"
"21/03/2025","4.940","4.840","4.960","4.750","4.15M","2.49%"
"20/03/2025","4.820","4.620","4.830","4.550","3.42M","5.93%"
"19/03/2025","4.550","4.560","4.590","4.505","1.24M","-0.22%"
"18/03/2025","4.560","4.500","4.590","4.490","727.76K","1.79%"
"17/03/2025","4.480","4.490","4.565","4.480","1.22M","-0.88%"
"14/03/2025","4.520","4.420","4.520","4.395","1.07M","2.26%"
"13/03/2025","4.420","4.390","4.460","4.380","880.91K","0.91%"
"12/03/2025","4.380","4.420","4.450","4.360","1.29M","-2.23%"
"11/03/2025","4.480","4.470","4.500","4.410","1.10M","-0.22%"
"10/03/2025","4.490","4.470","4.520","4.470","1.00M","0.45%"
"07/03/2025","4.470","4.420","4.515","4.420","1.19M","0.22%"
"06/03/2025","4.460","4.360","4.460","4.350","1.29M","-0.45%"
"05/03/2025","4.480","4.430","4.490","4.400","1.49M","-0.22%"
"04/03/2025","4.490","4.490","4.540","4.430","1.17M","-0.44%"
"03/03/2025","4.510","4.600","4.650","4.490","1.31M","-2.59%"
"28/02/2025","4.630","4.500","4.790","4.470","2.55M","2.43%"
"27/02/2025","4.520","4.490","4.530","4.450","930.63K","0.67%"
"26/02/2025","4.490","4.520","4.520","4.450","710.13K","0.45%"
"25/02/2025","4.470","4.470","4.500","4.450","636.92K","-0.67%"
"24/02/2025","4.500","4.540","4.570","4.480","965.89K","0.45%"
"21/02/2025","4.480","4.530","4.575","4.460","1.48M","-1.10%"
"20/02/2025","4.530","4.440","4.530","4.405","959.57K","1.80%"
"19/02/2025","4.450","4.430","4.450","4.390","832.45K","0.68%"
"18/02/2025","4.420","4.410","4.430","4.380","619.84K","0.91%"
"17/02/2025","4.380","4.390","4.410","4.340","724.61K","-0.23%"
"14/02/2025","4.390","4.350","4.400","4.310","715.18K","1.86%"
"13/02/2025","4.310","4.370","4.370","4.310","1.17M","-1.37%"
"12/02/2025","4.370","4.440","4.450","4.350","790.38K","-1.35%"
"11/02/2025","4.430","4.400","4.440","4.380","708.27K","1.37%"
"10/02/2025","4.370","4.340","4.435","4.340","1.28M","-1.13%"
"07/02/2025","4.420","4.430","4.460","4.400","543.42K","-0.23%"
"06/02/2025","4.430","4.430","4.450","4.400","749.38K","0.68%"
"05/02/2025","4.400","4.350","4.400","4.335","808.85K","1.85%"
"04/02/2025","4.320","4.350","4.350","4.300","677.28K","0.47%"
"03/02/2025","4.300","4.370","4.370","4.280","1.71M","-2.27%"
"31/01/2025","4.400","4.400","4.400","4.340","1.33M","0.69%"
"30/01/2025","4.370","4.310","4.380","4.280","1.23M","1.39%"
"29/01/2025","4.310","4.350","4.350","4.300","1.12M","0.00%"
"28/01/2025","4.310","4.300","4.390","4.280","1.92M","0.70%"
"24/01/2025","4.280","4.230","4.290","4.230","1.27M","1.18%"
"23/01/2025","4.230","4.360","4.380","4.230","1.89M","-3.42%"
"22/01/2025","4.380","4.430","4.460","4.360","1.35M","-1.35%"
"21/01/2025","4.440","4.500","4.505","4.410","901.48K","-0.89%"
"20/01/2025","4.480","4.500","4.520","4.460","678.92K","-0.22%"
"17/01/2025","4.490","4.550","4.560","4.490","1.06M","-2.39%"
"16/01/2025","4.600","4.530","4.620","4.510","978.20K","2.91%"
"15/01/2025","4.470","4.340","4.500","4.340","749.05K","1.59%"
"14/01/2025","4.400","4.360","4.420","4.350","486.35K","0.46%"
"13/01/2025","4.380","4.330","4.400","4.330","539.90K","0.46%"
"10/01/2025","4.360","4.330","4.380","4.330","475.62K","-0.46%"
"09/01/2025","4.380","4.350","4.380","4.320","1.28M","-0.23%"
"08/01/2025","4.390","4.300","4.400","4.300","462.58K","-0.23%"
"07/01/2025","4.400","4.530","4.530","4.380","1.28M","-1.12%"
"06/01/2025","4.450","4.590","4.590","4.450","874.24K","-2.84%"
"03/01/2025","4.580","4.450","4.590","4.450","643.98K","1.10%"
"02/01/2025","4.530","4.460","4.550","4.460","457.67K","0.89%"
"31/12/2024","4.490","4.440","4.540","4.440","345.96K","0.22%"
"30/12/2024","4.480","4.450","4.490","4.420","693.39K","0.45%"
"27/12/2024","4.460","4.450","4.480","4.430","466.47K","0.45%"
"24/12/2024","4.440","4.410","4.460","4.410","325.58K","0.45%"
"23/12/2024","4.420","4.280","4.420","4.280","619.74K","2.55%"
"20/12/2024","4.310","4.330","4.330","4.280","1.52M","-0.69%"
"19/12/2024","4.340","4.350","4.350","4.230","1.53M","-1.14%"
